"FAZENDA";"PROJETO";"ESPACAMENTO";"TALHAO";"MATGEN";"ARVORE";"DAP";"HT";"hi";"di_cc";"e_casca"
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;18;7,002817496;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;20;5,411268065;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;22;3,978873577;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";12;15,27887454;27,75;24;2,387324146;1
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;0,1;18,14366351;7
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;0,5;16,87042397;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;1;16,2338042;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;1,5;15,91549431;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;2;15,75633937;5
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;4;15,27887454;4
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;6;14,48309982;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;8;13,68732511;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;10;12,73239545;3
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;12;12,09577567;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;14;11,4591559;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;16;10,3450713;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;18;9,230986699;2
"ENGFLORESTAL";"PEQUI";"3x3";4;"FLO014";13;15,91549431;29,3;20;7,957747155;2
